original,clean
Army Research LaboratoryArmy Research Office,Army Research Laboratory | Army Research Office
Army Research Labs,Army Research Laboratory
Army Research Office,Army Research Office
Army Research Office and Grant,Army Research Office
Army Research Office and Grant Nos,Army Research Office
Army Research Office Grant,Army Research Office
Army Research Office Grant Aro,Army Research Office
Army Research Office Grant No,Army Research Office
Army Research Office of the United States Department of Defense,Department of Defense | Army Research Office
Army Research Office Sbir,Army Research Office | Small Business Innovation Research
Army Research Office Sbir Phase Ii,Army Research Office | Small Business Innovation Research
Army Research Office USA,Army Research Office
Army Robert Morris Acquisition Center,Army Robert Morris Acquisition Center
Army Small Business Innovation Research,Army | Small Business Innovation Research
ArmyAmc,Army | Army Materiel Command
ArmyArmy Medical Research and Material Command,Army | Army Medical Research and Materiel Command
ArmyArmy Research Office,Army | Army Research Office
ArmyArmy Research Office No,Army | Army Research Office
ArmyMedical Research,Army Medical Research
ArmyMedical Research and Materiel Command,Army Medical Research and Materiel Command
ArmyMedical Research Material and Command,Army Medical Research and Materiel Command
ArmyMrmc,Army Medical Research and Materiel Command
ArmyMrmcMedical Research,Army Medical Research and Materiel Command
ArmyMrmcMedical Research and Materiel Command,Army Medical Research and Materiel Command
Aro,Army Research Office
Aro Muri,Army Research Office
AroUs Army,Army Research Office | Army
AroUs Army Robert Morris Acquisition Center,Army Research Office | Army Robert Morris Acquisition Center
Arpa,Defense Advanced Research Projects Agency
Arpa Order No,Defense Advanced Research Projects Agency
ArpaE,Advanced Research Projects Agency-Energy
ArpaE Contract Nos,Advanced Research Projects Agency-Energy
ArpaEDepartment of Energy,Advanced Research Projects Agency-Energy| Department of Energy
Ars,Agricultural Research Service
Ars Agreement Id,Agricultural Research Service
Asian Office of Aerospace Research and Development,non_government
Assistant Secretary for Energy Efficiency,Office of Energy Efficiency and Renewable Energy
Assistant Secretary of Defense for Health Affairs,Department of Defense
Atmospheric Administration,National Oceanic and Atmospheric Administration
Atomic Energy Commission,Atomic Energy Commission
Atp,Army Technology Program
Autoimmunity Center of Excellence Pilot Award,National Institute of Health
Aviation Applied Technology Directorate,Aviation Applied Technology Directorate
Award Number Dmr0819885,non_government
Award Number Hrd0833093,non_government
Ballistic Missile Defense Organization,Missile Defense Agency
Barda,Biomedical Advanced Research and Development Authority
Basic Energy Science,Basic Energy Sciences
Basic Energy Sciences,Basic Energy Sciences
Basic Science,Basic Energy Sciences
Bioenergy Science Center,Bioenergy Research Centers
Bioenergy Science Center Oak Ridge National Laboratory,Bioenergy Research Centers | Oak Ridge National Laboratory
Bioenergy Technologies Office,Bioenergy Technologies Office
Biomedical Advanced Research and Development Authority,Biomedical Advanced Research and Development Authority
Blood Institute,"National Heart, Lung, and Blood Institute"
Blood Institute National Institutes of Health,"National Heart, Lung, and Blood Institute | National Institutes of Health"
Blood Institute of the National Institutes of Health,"National Heart, Lung, and Blood Institute | National Institutes of Health"
Blood Institute R21Hl084318,"National Heart, Lung, and Blood Institute"
Blood Institute the Government,"National Heart, Lung, and Blood Institute"
Bonneville Power Administration,Bonneville Power Administration
Breast Cancer Program,Department of Defense Breast Cancer Research Program
Brookhaven National Laboratory,Brookhaven National Laboratory
Brookhaven National Laboratory By the Department of Energy,Brookhaven National Laboratory | Department of Energy
Bureau of Mines,Bureau of Mines
Bureau of Reclamation,Bureau of Reclamation
Bureau of Safety and Environmental Enforcement,Bureau of Safety and Environmental Enforcement
Cancer Center Core,non_government
Cbet,"Chemical, Bioengineering, Environmental, and Transport Systems"
Ccsg,non_government
Cdc,Centers for Disease Control and Prevention
Center for Advanced Bioengineering for Soldier Survivability,Center for Advanced Bioengineering for Soldier Survivability
Center for Advanced Solar Photophysics,Center for Advanced Solar Photophysics
Center for Disease Control,Centers for Disease Control and Prevention
Center for Energy Efficient Materials of the Department of Energy,Department of Energy
Center for Excellence In Genomic Science Grant,National Human Genome Research Institute
Center for Nanophase Materials Sciences,Center for Nanophase Materials Sciences
Center Or Division of the National Institutes of Health,National Institutes of Health
Centers for Disease Control,Centers for Disease Control and Prevention
Centers for Disease Control and Prevention,Centers for Disease Control and Prevention
Centers for Disease Control and Prevention and Pharmajet Inc,Centers for Disease Control and Prevention
Centers of Cancer Nanotechnology Excellence,National Cancer Institute
Central Intelligence Agency,Central Intelligence Agency
Cerdec Sbir,"Army Communications-Electronic Research, Development, and Engineering Center | Small Business Innovation Research"
Chemical Sciences Division,non_government
Cia,Central Intelligence Agency
City of Hope,non_government
Cmmi Division of the National Science Foundation,National Science Foundation
Cms,Centers for Medicare & Medicaid Services
Cobre Center for Biomedical Research Excellence,Centers of Biomedical Research Excellence
Combating Terrorism Technical Support Office,Combating Terrorism Technical Support Office
Concentrated Solar Thermoelectric Power,non_government
Congressionally Directed Medical Research Medical Research Program,Department of Defense
CongressionallyDirected Materials Research CommandBreast Cancer Research Program,Army Materiel Command | Department of Defense | Breast Cancer Research Program
Construction Engineering Research Laboratory,Construction Engineering Research Laboratory
Contract Department of Energy,Department of Energy
Contract Department of Energy Office of Science,Department of Energy | Office of Science
Contract Nih,National Institutes of Health
Contract Nih Grant Eb018753,National Institutes of Health
Contract Number Gm58108,non_government
Contract Number H9400304D0006,non_government
Contract Number N00014C0042,non_government
Contract Number N0001902C3003,non_government
Contract Number N6833511C0095,non_government
Contract Number Nas1510000,non_government
Contract Number Ncc9165,non_government
Contract Number Nnx09Aq44A,non_government
Contract Number W15P7T12CA111,non_government
Contract Number W911Qx12C0039,non_government
Contract Number W911Qx12C0096,non_government
Contract Numbers Ca057530,non_government
Contract Numbers Cns1018355,non_government
Contract Numbers Gm069841,non_government
Contract Numbers W91Crb11C0048,non_government
ContractInstrument Department of Energy Sbir,Department of Energy | Small Business Innovation Research
Cooperative Agreement DeFg3607Go17006,non_government
Cooperative Agreements Ast0223851,non_government
Cooperative Research,non_government
Cooperative Research Education,Cooperative State Research Education and Extension Service
Cooperative State Research Education and Extension Service,Cooperative State Research Education and Extension Service
Cornell University Us Department of Transportation Assistance,Department of Transportation
Crad Project Dhs,Department of Homeland Security
Craniofacial Institute,National Institute of Dental and Craniofacial Research
Craniofacial Research,National Institute of Dental and Craniofacial Research
Critical Materials Institute At Ames Laboratory,Critical Materials Institute
Daad,non_government
Daids,National Institute of Allergy and Infectious Diseases
Darpa,Defense Advanced Research Projects Agency
Darpa Contract Nos,Defense Advanced Research Projects Agency
Darpa Dso,Defense Advanced Research Projects Agency | Defense Sciences Office
Darpa Grant,Defense Advanced Research Projects Agency
Darpa Grant Nos,Defense Advanced Research Projects Agency
Darpa Grant Number,Defense Advanced Research Projects Agency
Darpa Grant Number Mda9720010031,Defense Advanced Research Projects Agency
Darpa Information,Defense Advanced Research Projects Agency
Darpa Low Cost Arm,Defense Advanced Research Projects Agency
Darpa Microsystems Technology Office,Defense Advanced Research Projects Agency | Microsystems Technology Office
Darpa Mto,Defense Advanced Research Projects Agency | Microsystems Technology Office
Darpa Mto Sttr Project,Defense Advanced Research Projects Agency | Microsystems Technology Office | Small Business Technology Transfer Program
Darpa Mto Sttr Project Miniature Silicon Wdm Modulators for Analog FiberOptics Links,Defense Advanced Research Projects Agency | Microsystems Technology Office | Small Business Technology Transfer Program
Darpa Office of Naval Research,Defense Advanced Research Projects Agency | Office of Naval Research
Darpa Quiness Program,Defense Advanced Research Projects Agency
Darpa Sbir,Defense Advanced Research Projects Agency | Small Business Innovation Research
Darpa Sbir Phase IiW31P4Q10C0166,Defense Advanced Research Projects Agency | Small Business Innovation Research
Darpa Supply Chain Hardware Integrity for Electronics Defense,Defense Advanced Research Projects Agency
Darpa Young Faculty Award,Defense Advanced Research Projects Agency
Darpa Young Faculty Award  N660011114141,Defense Advanced Research Projects Agency
DarpaDso,Defense Advanced Research Projects Agency | Defense Sciences Office
DarpaNavy Grant No,Defense Advanced Research Projects Agency | Navy
DarpaOffice of Naval Research,Defense Advanced Research Projects Agency | Office of Naval Research
DarpaRa1152 Cyber Fast Track,Defense Advanced Research Projects Agency
Dc,Denali Commission
Dcma,Defense Contract Management Agency
Defense,non_government
Defense Advance Research Project Agency,Defense Advanced Research Projects Agency
Defense Advance Research Projections Agency,Defense Advanced Research Projects Agency
Defense Advanced Project Agency,Defense Advanced Research Projects Agency
Defense Advanced Projects Agency,Defense Advanced Research Projects Agency
Defense Advanced Reseach Projects Agency,Defense Advanced Research Projects Agency
Defense Advanced Research Planning Agency,Defense Advanced Research Projects Agency
Defense Advanced Research Products Agency,Defense Advanced Research Projects Agency
Defense Advanced Research Project Agency,Defense Advanced Research Projects Agency
Defense Advanced Research Project Agency Contract Nos,Defense Advanced Research Projects Agency
Defense Advanced Research Project Agency of the US Government,Defense Advanced Research Projects Agency
Defense Advanced Research Project AgencyArmy Contracting Command,Defense Advanced Research Project Agency | Army Contracting Command
Defense Advanced Research Projects,Defense Advanced Research Projects Agency
Defense Advanced Research Projects Administration,Defense Advanced Research Projects Agency
Defense Advanced Research Projects Agency,Defense Advanced Research Projects Agency
Defense Advanced Research Projects Agency and Grant,Defense Advanced Research Projects Agency
Defense Advanced Research Projects Agency and Grant Damd170220030,Defense Advanced Research Projects Agency
Defense Advanced Research Projects Agency Department of Defense,Defense Advanced Research Projects Agency | Department of Defense
Defense Advanced Research Projects Agency Microsystems Technology Office,Defense Advanced Research Projects Agency | Microsystems Technology Office
Defense Advanced Research Projects Agency of the Department of Defense,Defense Advanced Research Projects Agency | Department of Defense
Defense Advanced Research Projects AgencyOffice of Naval Research,Defense Advanced Research Projects Agency | Office of Naval Research
Defense Advanced Research Projects AgencySmall Business Technology Transfer Program,Defense Advanced Research Projects Agency | Small Business Technology Transfer Program
Defense Advanced Research Projects AgencyUs Army Research Office,Defense Advanced Research Projects Agency | Army Research Office
Defense Advanced Research Projects Agent,Defense Advanced Research Projects Agency
Defense Advances Research Projects Agency,Defense Advanced Research Projects Agency
Defense Award Research Projects Agency,Defense Advanced Research Projects Agency
Defense Logistics Agency,Defense Logistics Agency
Defense Medical Research,Defense Medical Research and Development Program
Defense Medical Research and Development Program Basic Research Award,Defense Medical Research and Development Program
Defense Microelectronics Activity,Defense Microelectronics Activity
Defense Nuclear Agency,Defense Threat Reduction Agency
Defense Science Office,Defense Sciences Office
Defense Sciences Office,Defense Sciences Office
Defense Thread Reduction Agency,Defense Threat Reduction Agency
Defense Threat Reduction Agency,Defense Threat Reduction Agency
Defense Threat Reduction Agency Contract,Defense Threat Reduction Agency
Defense Threat Reduction Agency Contract No,Defense Threat Reduction Agency
Defense Threat Reduction Agency Department of Defense,Defense Threat Reduction Agency |  Department of Defense
Defense Threat Reduction Center,Defense Threat Reduction Agency
Defense US Army Medical Research and Material Command,Army Medical Research and Materiel Command
Depart of DefenseDarpa,Department of Defense
Department,non_government
Department At Defense,Department of Defense
Department of Agriculture,Department Of Agriculture
Department of Agriculture Project,Department of Agriculture
Department of Agriculture Project No,Department of Agriculture
Department of Army,Army
Department of Commerce,Department of Commerce
Department of Commerce Cooperative Agreement Nos,Department of Commerce
Department of Commerce National Textile Center,Department of Commerce
Department of Defense,Department of Defense
Department of Defense AgencyDefense Advanced Research Projects Agency,Department of Defense | Defense Advanced Research Projects Agency
Department of Defense Air Force,Department of Defense | Air Force
Department of Defense and Defense Threat Reduction Agency,Department of Defense | Defense Threat Reduction Agency
Department of Defense and Grant,Department of Defense
Department of Defense and Grant No,Department of Defense
Department of Defense and WilliamsPyro Inc,Department of Defense
Department of Defense Army Research,Department of Defense | Army Research Laboratory
Department of Defense Breast Cancer Research Program,Department of Defense Breast Cancer Research Program
Department of Defense Congressionally Directed Medical Research Program,Department of Defense
Department of Defense Cooperative Agreements Nos,Department of Defense
Department of Defense Department of the Navy,Department of Defense | Navy
Department of Defense Deployment Related Medical Research Program,Department of Defense
Department of Defense Environmental Security Technology Certification Program,Department of Defense
Department of Defense Era of Hope Scholar Award W81Xwh0710482,Department of Defense
Department of Defense Grant,Department of Defense
Department of Defense Grant Damd1798C8030,Department of Defense
Department of Defense Grant No,Department of Defense
Department of Defense Grants Pc073887,Department of Defense
Department of Defense Idea Award,Department of Defense
Department of Defense Marine Corps Systems Command,Department of Defense | Marine Corps Systems Command
Department of Defense Navy,Department of Defense | Navy
Department of Defense Office of Naval Research,Department of Defense | Office of Naval Research
Department of Defense Office of Naval Research Grant,Department of Defense | Office of Naval Research
Department of Defense Office of Naval Research Grant No,Department of Defense | Office of Naval Research
Department of Defense Postdoctoral Award W81Xwh0910728,Department of Defense
Department of Defense Prostate Cancer Research Program,Department of Defense Prostate Cancer Research Program
Department of Defense Usamraa,Department of Defense | Army Medical Research and Materiel Command
Department of Defense W81Xwh0710215,Department of Defense
Department of DefenseAir,Department of Defense
Department of DefenseArmy,Department of Defense | Army
Department of DefenseArmy Research Laboratories,Department of Defense | Army Research Laboratory
Department of DefenseCdmpr,Department of Defense
Department of DefenseCdmrp,Department of Defense
Department of DefenseDarpa,Department of Defense | Defense Advanced Research Projects Agency
Department of DefenseDefense Advanced Research Projects Agency,Department of Defense | Defense Advanced Research Projects Agency
Department of DefenseDepartment,Department of Defense
Department of DefenseDepartment of the Navy,Department of Defense | Navy
Department of DefenseDepartment of Threat Reduction,Department of Defense | Defense Threat Reduction Agency
Department of DefenseMissile Defense Agency,Department of Defense | Missile Defense Agency
Department of DefenseOrthopedics Trauma Research Program,Department of Defense
Department of DefenseU,Department of Defense
Department of DefenseUnited States Air Force Office of Scientific Research,Department of Defesne | Air Force Office of Scientific Research
Department of DefenseUs Army,Department of Defense | Army
Department of DefenseUsa Medical Research Aqc,Department of Defense
Department of Education,Department of Education
Department of Energy,Department of Energy
Department of Energy Advanced Research Projects AgencyEnergy,Department of Energy | Advanced Research Projects Agency-Energy
Department of Energy American Recovery,Department of Energy
Department of Energy and Air Force Office of Scientific Research,Department of Energy | Ait Force Office of Scientific Research
Department of Energy and Contract No,Department of Energy
Department of Energy and General Atomics,Department of Energy
Department of Energy and Grant,Department of Energy
Department of Energy and Grant No,Department of Energy
Department of Energy and Grant W911Nf,Department of Energy
Department of Energy and Lawrence Livermore National Security,Department of Energy | Lawrence Livermore National Laboratory
Department of Energy ArpaE,Department of Energy | Advanced Research Projects Agency-Energy
Department of Energy Award,Department of Energy
Department of Energy Award DeAc0506Or23100,Department of Energy
Department of Energy Bes,Department of Energy | Basic Energy Sciences
Department of Energy Biomass Program,Department of Energy
Department of Energy Contract,Department of Energy
Department of Energy Contract No,Department of Energy
Department of Energy Cooperative,Department of Energy
Department of Energy Cooperative Agreement,Department of Energy
Department of Energy Cooperative Agreement DeEe0006429,Department of Energy
Department of Energy Cooperative Agreement DeFc2605Nt42513,Department of Energy
Department of Energy DeG0207Er,Department of Energy
Department of Energy Eere,Department of Energy | Energy Efficiency and Renewable Energy
Department of Energy Genomes,Department of Energy
Department of Energy Genomes To Life Center,Department of Energy
Department of Energy Grant,Department of Energy
Department of Energy Grant DeFg0207Er84788,Department of Energy
Department of Energy Grant Defg0292Er20071,Department of Energy
Department of Energy Grant DeSc0004453,Department of Energy
Department of Energy Grant No,Department of Energy
Department of Energy Grants Go18103,Department of Energy
Department of Energy Great Lakes Bioenergy Research Center Cooperative Agreement,Department of Energy
Department of Energy National Energy Technology Laboratory,Department of Energy | National Energy Technology Laboratory
Department of Energy National Nuclear Security Administration,Department of Energy | National Nuclear Security Administration
Department of Energy Number DeFe0004000,Department of Energy
Department of Energy of the United States Government,Department of Energy
Department of Energy of the US Government,Department of Energy
Department of Energy Office of Basic Energy Science,Department of Energy | Basic Energy Sciences
Department of Energy Office of Basic Energy Sciences,Department of Energy | Basic Energy Sciences
Department of Energy Office of Basic Energy Sciences Grant,Department of Energy | Basic Energy Sciences
Department of Energy Office of Energy Efficiency,Department of Energy | Office of Energy Efficiency and Renewable Energy
Department of Energy Office of Energy Efficiency and Renewable Energy,Department of Energy | Office of Energy Efficiency and Renewable Energy
Department of Energy Prime Award De,Department of Energy
Department of Energy Recovery,Department of Energy
Department of Energy Sbir,Department of Energy | Small Business Innovation Research
Department of Energy Ssl Core Technology,Department of Energy
Department of Energy the,Department of Energy
Department of Energy To Sandia Corporation,Department of Energy
Department of EnergyArpaE,Department of Energy | Advanced Research Projects Agency-Energy
Department of EnergyBasic Energy Sciences,Department of Energy | Basic Energy Sciences
Department of EnergyFunded Center for Plant,Department of Energy | Center for Plant and Microbial Complex Carbohydrates
Department of EnergyFunded Center for Plant and Microbial Complex Carbohydrates,Department of Energy | Center for Plant and Microbial Complex Carbohydrates
Department of EnergyNational Energy Tech,Department of Energy | National Energy Technology Laboratory
Department of EnergyNational Energy Tech Lab,Department of Energy | National Energy Technology Laboratory
Department of EnergyNetl,Department of Energy | National Energy Technology Laboratory
Department of EnergyS Office of Science,Department of Energy | Office of Science
Department of EnergyWater Transport,Department of Energy
Department of Health,Department of Health and Human Services
Department of Health and Human Service,Department of Health and Human Services
Department of Health and Human Services,Department of Health and Human Services
Department of Health and Human Services National Institutes of Health,Department of Health and Human Services | National Institutes of Health
Department of Health and Human Services of the US Government,Department of Health and Human Services
Department of Health and Human ServicesFood and Drug Administration,Department of Health and Human Services | Food and Drug Administration
Department of Homeland Security,Department of Homeland Security
Department of Homeland Security Advanced Research Projects Agency,Department of Homeland Security | Defense Advanced Research Projects Agency
Department of Homeland Security and N000140510454,Department of Homeland Security
Department of Homeland Security Center,Department of Homeland Security
Department of Homeland Security Center of Excellence,Department of Homeland Security
Department of Homeland Security Center of Excellence for Emerging,Department of Homeland Security
Department of Homeland Security Science and Technology,Department of Homeland Security
Department of Homeland SecuritySt,Department of Homeland Security
Department of Interior,Department of the Interior
Department of InteriorNational Business Center,Department of the Interior
Department of Navy,Navy
Department of the Air Force,Air Force
Department of the Army,Army
Department of the ArmyMrmc,Army Medical Research and Materiel Command
Department of the Interior,Department of the Interior
Department of the Navy,Navy
Department of the NavyNaval Air Systems Command,Navy | Naval Air Systems Command
Department of the United States Air Force,Air Force
Department of the United States Navy,Navy
Department of Transportation,Department of Transportation
Department of Transportation Sun,Department of Transportation
Department of Transportation Sun Grant Initiative Awards,Department of Transportation
Department of TransportationFederal Transit Agency,Department of Transportation | Federal Transit Administration
Department of Veteran Affairs Rehabilitation Research and Development Service,Department of Veteran Affairs | Rehabilitation Research and Development Service
Department of Veteran Affairs Va Merit Review Grant,Department of Veterans Affairs
Department of Veteran Affairs Va Merit Review Grant No 003404111,Department of Veterans Affairs
Department of Veterans Affairs,Department of Veterans Affairs
Department of Veterans Affairs and Grant Nos,Department of Veterans Affairs
Dept of Agriculture,Department of Agriculture
Dept of AgricultureAgricultural Research Service,Department of Agriculture | Agricultural Research Service
Dept of Defense US Army Medical Research and Material Command,Department of Defense | Army Medical Research and Materiel Command
Dept of DefenseDefense Threat Reduction Agency,Department of Defense | Defense Threat Reduction Agency
Development and Engineering Command,"Army Research, Development and Engineering Command"
Development and Engineering Command W91Crb08D0015,"Army Research, Development and Engineering Command"
Dhhs,Department of Health and Human Services
Dhs,Department of Homeland Security
Dhs Sandt NcBsi Agreement Number,Department of Homeland Security | National Center for Border Security and Administration
DhsDndo,Department of Homeland Security | Domestic Nuclear Detection Office
Digestive and Kidney Disease,National Institute of Diabetes and Digestive and Kidney Diseases
Digestive and Kidney DiseasesNational Institutes of Health,National Institute of Diabetes and Digestive and Kidney Diseases | National Institutes of Health
Director of National Intelligence,Office of the Director of National Intelligence
Disease Control,Centers for Disease Control and Prevention
Disease Control and Prevention,Centers for Disease Control and Prevention
Division of Astronomical Sciences,National Science Foundation
Division of Research Resources,National Center for Research Resources
Division of the National Institutes of Health,National Institutes of Health
Dmr,National Science Foundation
Dndo,Domestic Nuclear Detection Office
Doc Grant,Department of Commerce
Doc Grant No,Department of Commerce
Dod,Department of Defense
Dod Army Research Office,Department of Defense | Army Research Office
Dod Breast Cancer Research,Department of Defense Breast Cancer Research Program
Dod Breast Cancer Research Idea,Department of Defense Breast Cancer Research Program
Dod Cdmrp Lung Cancer Research Idea Development Award New Investigator,Department of Defense
Dod Cdmrp Lung Cancer Research Idea Development Award New Investigator Lc130463,Department of Defense
Dod Dmrdp,Department of Defense
Dod Grant,Department of Defense
Dod N000141010925,Department of Defense
Dod Pcrp,Department of Defense Prostate Cancer Research Program
Dod Prostate Cancer Synergistic Idea Development Award,Department of Defense Prostate Cancer Research Program
