Location,InstanceCount,Omit
Indianapolis,1,
Amreica,1,
Norfolk,1,
California Sea,1,
Lakeside Boulevard,1,
United State,1,
Shallow Ocean,1,
Crane,1,
West Eglin Blvd.,1,
Port Hueneme,1,
Prussia,1,
Ferroelectrics,1,
Leland Stanford,1,
Fairfax Drive,1,
Alberta Limited,1,
Hampton Roads,1,
Kentucky,1,
West Virginia,1,
New Orleans,1,
Tucson,1,
DACA,1,
Naval System Center,1,
S. Willson Ave.,1,
Grants Calif.,1,
Brooks Road,1,
Titusville,1,
IA,1,
Ireland,1,
Blacksburg,1,
Rockford,1,
Savage Road,1,
Tennessee Valley,1,
Anacostia,1,
Bar Harbor,1,
Aberdeen,1,
Woodbridge,1,
U. Colorado,1,
Wash,1,
Palo Alto,1,
Pax River,1,
Bonn,1,
Hungary,1,
Bacillus,1,
Mississippi,1,
Savannah River,1,
Upton,1,
Hercules,1,
California Sea Grant,1,
CA.,1,
San Jose,1,
Idaho Falls,1,
Washington D.C.,1,
Brighton Road,1,
Toledo,1,
Boulder,1,
Ames,1,
Moscow,1,
Ft. Detrick,1,
Darlington,1,
Los Angeles,1,
Iowa U.S.A,1,
Walfare,1,
Hong Kong SAR,1,
Iijima,1,
Knoxville,1,
Colorado,1,
Parlier,1,
East Bay Municipal Utility District,1,
Tampa,1,
W. Va,1,
Bragg,1,
Long Beach,1,
Memphis,1,
Hillsboro Road,1,
SAN DIEGO,1,
Detroit,1,
Ridgecrest,1,
Rockville,1,
State of Calif.,1,
Moore Street,1,
Holland,1,
Oklahoma City,1,
Nev.,1,
VA Salt Lake City,1,
Wyoming,1,
Charleston,1,
Batavia,1,
Fairfield,1,
Schmatz,1,
DAND,1,
Buffalo,1,
Warren Mich,1,
Wisconsin,1,
Shanghai,1,
DC,1,
Princeton,1,
United Stales,1,
Saudi Arabia,1,
Eindhoven,1,
Milwaukee,1,
Wooster,1,
Lancell,1,
Washington D.C,1,
Naval Medical Center San Diego,1,
Northern Ireland,1,
Texas Learning,1,
Albuquerque N.M,1,
Ia.,1,
Warrenton,1,
Livermore,1,
Salt Lake City,1,
West Lafayette,1,
Hampton,1,
Yardney,1,
LA,1,
Silver Spring,1,
Annapolis Way,1,
Chandler Street,1,
Las Vegas,1,
Battelle Research Triangle Park,1,
