,How,Match,Org
249,None,None,Naval Warfare Systems Command
250,None,None,Ptr
252,None,None,Us ArmyAro
253,None,None,Us Air ForceAfmc
255,None,None,Nmr
256,None,None,Rr
257,None,None,US Provisional Patent Application Ser
258,None,None,King AbdulAziz City for Science
261,None,None,the Department of the Navy
263,None,None,Air Force Office of Scientific Research and MultiUniversity Research Incentive
266,None,None,National Institute of Neurological Disorders and Stroke
267,None,None,Environmental Research
269,None,None,Cea
271,None,None,Fastforward2 Memory Technology
273,None,None,National Institute of Health Sbir
276,None,None,Grant Number E14Pc00043
277,None,None,US Government Contract Number W31P4Q08C0264
278,None,None,Eos Photonics
279,None,None,UsdaNifa
280,None,None,American Cancer Society
281,None,None,Tstar
282,None,None,Colorado State University
284,None,None,Lawrence Livermore National Security
287,None,None,Advanced Technology Program Award No
288,None,None,Usc
289,None,None,Cns
291,None,None,Sandia National Laboratories
295,None,None,Itr
298,None,None,United States Air Force Asian Office of Aerospace Research and Development
307,None,None,Grant Numbers Gm057479
309,None,None,National Institute of Standards Technology
310,None,None,Grant Number W81Xwh1110100
311,None,None,Ctrc Cancer Center
312,None,None,Eccs
316,None,None,California Public Utilities Commission of the State of California
320,None,None,Grant No
322,None,None,Grant Number Ai087508
326,None,None,Us Navy
327,None,None,Spp
329,None,None,Ddalo
330,None,None,National Institute on Aging
331,None,None,the Air Force
337,None,None,Grant Nos
338,None,None,Darpa Grant Number Mda9720010031
341,None,None,Prime Cooperative Agreement
343,None,None,Trius Therapeutics Inc
344,None,None,National Cancer Institute Nhi 1 K23Ca10416001
345,None,None,Roi
348,None,None,Onr
349,None,None,King Fand University for Petroleum and Minerals
350,None,None,Career Award Number
351,None,None,National Science Technology and Innovation Plan
353,None,None,Underwater FreeSpace Optical Communications
354,None,None,Itic
356,None,None,Us National Institute of Allergy
358,None,None,Kentucky Science and Technology Corporation
359,None,None,Grant No 1
360,None,None,Technology Transfer Office
364,None,None,Bioenergy Science Center
368,None,None,Breast Cancer Research Foundation
369,None,None,Stroke
375,None,None,Grant Number Ca143868
376,None,None,the National Institute of Child Health and Human Development
378,None,None,Nimh Pdsp
383,None,None,Navy Sttr
384,None,None,Uniformed Services University
386,None,None,Multidisciplinary University Research Initiative
387,None,None,Integrating Population and Basic Science
390,None,None,Grant Number Eb006124
391,None,None,Federal
392,None,None,Bureau of Safety and Environmental Enforcement
397,None,None,Genomic Science
399,None,None,Department of Commercialization
401,None,None,Army Medical Research Material
407,None,None,Melinda Gates Foundation Grant No
409,None,None,National Institute of HealthNational Cancer Institute
412,None,None,Army Medical Research
415,None,None,Gm
416,None,None,Cooperative State Research
417,None,None,Kentucky Cabinet for Economic Development
418,None,None,Pdf
420,None,None,Hsarpa
424,None,None,Mit Lincoln Laboratory and Eos Photonics
425,None,None,Grant Number W911Nf0910069
428,None,None,Defense Advanced Research Projects AgencySmall Business Technology Transfer Program
429,None,None,Grant Numbers Ai08417101
430,None,None,Adams
433,None,None,Emc Corporation
434,None,None,Contract Number Gm58108
435,None,None,National Institute of Health and Grant W81Wh1110463
436,None,None,National Aeronautical and Space Agency
439,None,None,Space and Naval Warfare Systems Command
441,None,None,Stimulate Competitive Research
442,None,None,International Materials Institute for New Functionality
444,None,None,Office of Research
449,None,None,Grant Number U54 Ca119341
451,None,None,Tatrc
454,None,None,United States Government Grant Ca60419
457,None,None,National Institute of Diabetes and Digestive and Kidney Diseases
458,None,None,Grant Number W81Xwh0710498
460,None,None,Strategic Systems Programs
461,None,None,Public Release
462,None,None,Kacst
464,None,None,National Institute of Occupational Safety and Health
468,None,None,National Institute of Child Health and Human Development
469,None,None,S1
470,None,None,Us Air Force Research Laboratory
472,None,None,Darpa Mto Sttr Project
473,None,None,Nystar
474,None,None,Erdf
475,None,None,Advanced Research Projects AgencyEnergy Electrofuels Program
478,None,None,Nsrf
479,None,None,National Cancer Institute Nhi
481,None,None,University of Massachusetts
482,None,None,Cognition Enhancing Compounds
483,None,None,Contract Nos
484,None,None,National Institute of Arthritis and Musculoskeletal and Skin Diseases
485,None,None,NihNiaaa
486,None,None,Durable
487,None,None,National High Magnetic Field Laboratory
489,None,None,Office of Research and Technical Applications
492,None,None,Air Force Contract Fa872105C0002
493,None,None,MultiUniversity Research Incentive
497,None,None,Llc
498,None,None,Ninds Spore
499,None,None,Space and Naval Warfare Systems CenterPacific
501,None,None,Distribution Unlimited
505,None,None,Award Number
506,None,None,Fa
508,None,None,Basic Science
510,None,None,Education and Extension Service
511,None,None,Ldrd
512,None,None,Sttr Phase
513,None,None,United Technologies Corporation
514,None,None,US Army Rdecom Acq Ctr
515,None,None,Us National Institute of Allergy and Infectious Diseases
518,None,None,Muri Grant
519,None,None,Grant Dms 0325939 Itr
520,None,None,California Energy Commission
521,None,None,California Institute of Regenerative Medicine
524,None,None,Fia
525,None,None,National Science
526,None,None,Advanced Technology Program Award
527,None,None,Grant Numbers R01Ca129011
528,None,None,European Regional Development Fund
534,None,None,Contract Iip
535,None,None,Intelligence Advanced Research Projects Activity
536,None,None,National Institute Standards Tech
539,None,None,Tstar Grant No
542,None,None,National Center for Complementary and Alternative Medicine
543,None,None,National Institute of Health Sbir Phase Ii
544,None,None,National Center for Complementary
545,None,None,Nci Grant No
546,None,None,Coultier FoundationCtsc
548,None,None,Cooperative Agreement
551,None,None,DarpaDso
553,None,None,Grant Number Dc005633
554,None,None,Texas Corporation
557,None,None,Project Number Do645
558,None,None,Bioenergy Science Center Oak Ridge National Laboratory
559,None,None,Grant Gm046192
560,None,None,National Instituted of Health
561,None,None,Holden Comprehensive Cancer Center
563,None,None,United States Navy Office of Naval Research
567,None,None,Mit Lincoln Laboratory
568,None,None,Grant Number 5U01Ai06358905S1
569,None,None,Iip
570,None,None,Caci
572,None,None,US Government Contract No
573,None,None,Nci Dendritic Cell Immunotherapy of Malignant Glioma R01
574,None,None,Partners Linking Urban Schools
575,None,None,Grant No 1R01 Gm112492A
576,None,None,US Department of the Bureau of Safety and Environmental Enforcement
577,None,None,Kfupm
578,None,None,National Institute on Disability and Rehabilitation Research
579,None,None,US Government Contract Name Cohering Multiplatform Sensors
580,None,None,the Ministry of Defense
581,None,None,Crada
584,None,None,Grant Number Hhsn261200800001E
586,None,None,Cr
593,None,None,Sandia National Laboratories Laboratory Directed Research and Development
597,None,None,Office of Scientific Research
598,None,None,Erast Jsra Contract Ncc04004
599,None,None,Collaborative Research
606,None,None,National Research Service
610,None,None,Grant Numbers R
612,None,None,Research Grant Number 1Rc2Ca148271
616,None,None,Ncc
621,None,None,Trademark Office
623,None,None,US Air Force Research Laboratory
626,None,None,Grant Number W81Xwh0710718
629,None,None,Darpa Quiness Program
630,None,None,National Institute of Allergy and Infectious Diseases
631,None,None,Nrf
633,None,None,Inpho
634,None,None,Telemedicine and Advanced Technology Research Center
636,None,None,Emc
641,None,None,Usaid
642,None,None,ArmyMedical Research and Materiel Command
643,None,None,Nsbri
644,None,None,Bes
645,None,None,the National Institute of Mental Health
647,None,None,Sidney Kimmel Cancer Center
649,None,None,Grant Number R01A1080885
650,None,None,Grant Number DeEe0003046
653,None,None,Naval Research Laboratory
654,None,None,Grant Numbers Che1102637
655,None,None,Sttr
